"id","name"
"63.01.11.2008",Handil Birayang Atas
"63.01.11.2009",Handil Birayang Bawah
"63.01.11.2010",Handil Maluka
"63.01.11.2011",Handil Labuan (Amas)
"63.02.01.2001",Labuan Barat
"63.02.01.2002",Teluk Sungai
"63.02.01.2003",Maradapan
"63.02.01.2004",Tengah
"63.02.01.2005",Tanjung Nyiur (Tanjungnyiur)
"63.02.02.2005",Lontar Selatan
"63.02.02.2006",Lontar Timur
"63.02.02.2007",Sebanti
"63.02.02.2008",Sepagar
"63.02.02.2009",Semaras
"63.02.02.2012",Terangkih (Terangkeh)
"63.02.02.2015",Gemuruh
"63.02.02.2017",Tapian Balai (Tepian Balai)
"63.02.02.2018",Lontar Utara
"63.02.02.2021",Sumber Sari
"63.02.02.2022",Subur Makmur
"63.02.03.2006",Teluk Sirih
"63.02.03.2007",Sungai Bahim
"63.02.03.2008",Tanjung Seloka
"63.02.03.2009",Tanjung Serudung
"63.02.03.2011",Alle-Alle
"63.02.03.2013",Sungai Bulan
"63.02.03.2015",Labuan Mas
"63.02.03.2016",Tanjung Seloka Utara
"63.02.04.2001",Batu Tunau
"63.02.04.2002",Sejakah
"63.02.04.2003",Bekambit
"63.02.04.2004",Langkang Baru
"63.02.04.2005",Langkang Lama
"63.02.04.2006",Sungai Limau
"63.02.04.2007",Berangas
"63.02.04.2008",Tanjung Pengharapan
"63.02.04.2009",Betung
"63.02.04.2010",Teluk Mesjid
"63.02.04.2011",Teluk Gosong
"63.02.04.2012",Kulipak
"63.02.04.2013",Karangsari Indah (Karang Sari Indah)
"63.02.04.2014",Bekambit Asri
"63.02.05.2001",Sekapung
"63.02.05.2002",Kanibungan
"63.02.05.2003",Mandin
"63.02.05.2004",Serakaman (Sarakaman)
"63.02.05.2005",Sungai Bali
"63.02.05.2006",Balambus
"63.02.05.2007",Rampa
"63.02.05.2008",Ujung
"63.02.06.1001",Kotabaru Hulu
"63.02.06.2009",Megasari (Mega Sari)
"63.02.06.2010",Sebelimbingan
"63.02.06.2011",Stagen
"63.02.06.2012",Rampa
"63.02.06.2013",Sungai Taib
"63.02.06.2014",Semayap
"63.02.06.2015",Dirgahayu
"63.02.06.2022",Gunung Ulin
"63.02.06.2025",Gunung Sari
"63.02.07.2004",Tanjung Pangga
"63.02.07.2005",Pembelacanan (Pembelancanan)
"63.02.07.2006",Sungai Nipah
"63.02.07.2007",Pantai
"63.02.07.2009",Sangking Baru
"63.02.07.2014",Suka Maju
"63.02.07.2015",Sungai Kupang Jaya
"63.02.07.2016",Pantai Baru
"63.02.07.2017",Bumi Asih
"63.02.08.2001",Cantung Kiri Hilir
"63.02.08.2002",Karang Payau
"63.02.08.2003",Banua Lawas
"63.02.08.2004",Sungai Kupang
"63.02.08.2005",Bangkalaan Melayu
"63.02.08.2006",Bangkalaan Dayak
"63.02.08.2007",Laburan
"63.02.08.2008",Karang Liwar
"63.02.08.2009",Mangkirana
"63.02.08.2010",Sidomulyo (Sido Mulyo)
"63.02.09.2001",Tanjung Batu
"63.02.09.2002",Sungai Punggawa
"63.02.09.2003",Tanah Rata
"63.02.09.2004",Sebuli
"63.02.09.2005",Sembilang
"63.02.09.2006",Tamiang Bakung
"63.02.09.2007",Sang-Sang
"63.02.09.2011",Sungai Pinang
"63.02.09.2012",Tanjung Selayar
"63.02.09.2013",Senakin Seberang
"63.02.09.2014",Senakin
"63.02.09.2016",Tebing Tinggi
"63.02.09.2017",Geronggang
"63.02.10.2001",Sungai Hanyar
"63.02.10.2002",Sungai Seluang
"63.02.10.2003",Pudi
"63.02.10.2004",Mangga
"63.02.10.2005",Wilas
"63.02.10.2006",Pudi Seberang
"63.02.10.2007",Sulangkit
"63.02.11.2001",Sekandis
"63.02.11.2002",Gunung Calang
"63.02.11.2003",Talusi
"63.02.11.2004",Sakalimau
"63.02.11.2005",Tanjung Samalantakan
"63.02.11.2006",Sakadoyan
"63.02.11.2007",Rampa Cengal (Rampacengal)
"63.02.11.2008",Sesulung
"63.02.11.2009",Pondok Labu
"63.02.11.2010",Mulyodadi
"63.02.11.2011",Sukadana
"63.02.12.2001",Sepapah
"63.02.12.2002",Sungai Betung
"63.02.12.2003",Basuang
"63.02.12.2004",Gunung Batu Besar
"63.02.12.2005",Sampanahan
"63.02.12.2006",Rampa Manunggul
"63.02.12.2007",Papaan
"63.02.12.2008",Sampanahan Hilir
"63.02.12.2009",Banjarsari (Banjar Sari)
"63.02.12.2010",Sukamaju (Suka Maju)
"63.02.13.2002",Bepara
"63.02.13.2004",Betung
"63.02.13.2005",Sekayu Baru
"63.02.13.2006",Bakau
"63.02.13.2007",Binturung
"63.02.13.2008",Harapan Baru
"63.02.13.2009",Balaimea
"63.02.13.2010",Tamiang (Tamiyang)
"63.02.13.2011",Kalian
"63.02.13.2012",Mulyoharjo (Mulyo Harjo)
"63.02.13.2013",Pamukan Indah
"63.02.13.2014",Wonorejo
"63.02.13.2015",Lintang Jaya
"63.02.14.2001",Hampang
"63.02.14.2002",Cantung Kiri Hulu
"63.02.14.2003",Cantung Kanan
"63.02.14.2004",Muara Orie
"63.02.14.2005",Lalapin
"63.02.14.2006",Peramasan Dua Kali Sanga
"63.02.14.2007",Limbur
"63.02.14.2008",Hulu Sampanahan
"63.02.14.2009",Limbungan
"63.02.15.2001",Buluh Kuning
"63.02.15.2002",Gendang Timburu
"63.02.15.2004",Manunggul Lama
"63.02.15.2006",Rantau Buda (Rantau Budha)
"63.02.15.2007",Manunggul Baru
"63.02.15.2008",Terombong Sari (Terobong Sari)
"63.02.15.2009",Rantau Jaya
"63.02.16.2001",Semisir
"63.02.16.2002",Sungai Pasir
"63.02.16.2003",Mekarpura (Mekar Pura)
"63.02.16.2004",Selaru
"63.02.16.2005",Sungup Kanan
"63.02.16.2006",Pantai Baru (Pantaibaru)
"63.02.16.2007",Salino
"63.02.17.2001",Serongga
"63.02.17.2002",Tarjun
"63.02.17.2003",Langadai
"63.02.17.2004",Pulau Panci
"63.02.17.2005",Pelajau Baru
"63.02.17.2006",Tegal Rejo
"63.02.17.2007",Mandala
"63.02.17.2008",Telagasari (Telaga Sari)
"63.02.17.2009",Sahapi
"63.02.18.2001",Siayuh (Si Ayuh)
